ExamID,QuestionID,Year,Topic,Difficulty,AnswerType
Resit_2022,R_22_Q1,2022,Propositional Logic,Easy,Written
Resit_2022,R_22_Q2,2022,Mathematical Induction,Hard,Written
Resit_2022,R_22_Q3a,2022,Set Theory,Medium,Written
Resit_2022,R_22_Q3b,2022,Set Theory,Medium,Written
Resit_2022,R_22_Q4,2022,Relation Properties,Medium,Written
Resit_2022,R_22_Q5a,2022,Combinatorics,Medium,Written
Resit_2022,R_22_Q5b,2022,Combinatorics,Medium,Written
Resit_2022,R_22_Q5c,2022,Combinatorics,Medium,Written
Resit_2022,R_22_Q6a,2022,Quantifiers,Medium,Written
Resit_2022,R_22_Q6b,2022,Quantifiers,Medium,Written
Resit_2022,R_22_Q6c,2022,Quantifiers,Hard,Written
Resit_2022,R_22_Q7a,2022,Function Bijection,Hard,Written
Resit_2022,R_22_Q7b,2022,Function Composition,Hard,Written
Resit_2022,R_22_Q8a,2022,Set Partitions,Easy,Written
Resit_2022,R_22_Q8b,2022,Set Operations,Easy,Written
Exam_2021,E_21_Q1,2021,Propositional Logic,Easy,Written
Exam_2021,E_21_Q2,2021,Induction,Medium,Written
Exam_2021,E_21_Q3a,2021,Set Theory,Medium,Written
Exam_2021,E_21_Q3b,2021,Set Theory,Medium,Written
Exam_2021,E_21_Q4a,2021,Relations,Medium,Written
Exam_2021,E_21_Q4b,2021,Equivalence Classes,Medium,Written
Exam_2021,E_21_Q5a,2021,Counting Functions,Medium,Written
Exam_2021,E_21_Q5b,2021,Bijections,Medium,Written
Exam_2021,E_21_Q5c,2021,Combinatorial Distribution,Medium,Written
Exam_2021,E_21_Q6a,2021,Quantifiers,Medium,Written
Exam_2021,E_21_Q6b,2021,Quantifiers,Medium,Written
Exam_2021,E_21_Q7a,2021,Bijections,Medium,Written
Exam_2021,E_21_Q7b,2021,Function Composition,Medium,Written
Exam_2021,E_21_Q8a,2021,Set Operations,Easy,Written
Exam_2021,E_21_Q8b,2021,Power Set,Easy,Written
Resit_2024,R_24_Q1a,2024,Propositional Logic,Easy,Multiple Choice
Resit_2024,R_24_Q1b,2024,Propositional Logic,Easy,Multiple Choice
Resit_2024,R_24_Q1c,2024,Propositional Logic,Easy,Multiple Choice
Resit_2024,R_24_Q1d,2024,Propositional Logic,Easy,Multiple Choice
Resit_2024,R_24_Q2a,2024,Mathematical Induction,Hard,Written
Resit_2024,R_24_Q2b,2024,Mathematical Induction,Hard,Written
Resit_2024,R_24_Q3a,2024,Set Theory,Hard,Written
Resit_2024,R_24_Q3b,2024,Set Theory,Hard,Written
Resit_2024,R_24_Q4a,2024,Relation Properties,Medium,Written
Resit_2024,R_24_Q4b,2024,Equivalence Classes,Easy,Multiple Choice
Resit_2024,R_24_Q5a,2024,Combinatorics,Medium,Written
Resit_2024,R_24_Q5b,2024,Combinatorics,Medium,Written
Resit_2024,R_24_Q5c,2024,Set Subsets,Medium,Written
Resit_2024,R_24_Q6a,2024,Predicate Logic,Hard,Written
